method,mse,psnr_db,ssim
Bicubic,0.0002008406815929035,36.97148313430261,0.9452905654907227
Baseline CNN,0.00015187423041949333,38.18515909718776,0.9600183963775635
ResidualSR,0.0001262520148884505,38.98761682136406,0.9640116180479527
